TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
PINE4;8,49;4,28;10,05;1,66;0,07;17,65;3,53;4,58;13,03;12,67;;;0,46;-1,44;-0,07;0,39;16,48;0,67;;0,04;0,96;0,15;25,71;;2.402.561,14;5,13;0,84;0,57;1.874.835.164,57
PPAR3;14,60;16,25;1,04;0,05;0,03;;;;0,97;-0,84;-1,81;-0,08;;0,52;-0,03;138,77;4,34;3,11;3,66;0,72;0,28;0,00;;35,50;;323,28;14,04;0,04;2.160.800,00
PPAR4;0,00;;0,00;0,00;0,00;;;;0,00;-0,84;-1,81;-0,08;;0,00;0,00;138,77;4,34;3,11;3,66;0,72;0,28;0,00;;35,50;;323,28;14,04;0,00;2.160.800,00
PPLA11;0,83;;0,39;233,62;4,24;;;;0,39;0,39;0,00;0,00;;;-233,62;1,00;59.960,00;1.088,20;59.960,00;0,02;0,98;0,00;;;1.678,38;0,00;2,13;0,00;2.336.172,78
PSSA3;46,50;5,33;9,64;2,08;0,59;100,00;8,64;8,36;9,32;6,23;-3,08;-0,69;0,81;9,38;-1,31;1,13;21,54;6,12;13,01;0,28;0,71;0,73;14,28;17,74;60.759.308,00;22,40;4,83;0,38;30.066.251.790,00
QVQP3B;0,28;;-64.371,22;89.708,83;89.708,83;;;;-59.805,89;-59.805,26;0,63;-0,95;;89.708,83;;;-139,36;-139,36;-150,00;1,00;0,00;0,00;;;0,00;0,00;0,00;-2.479,48;8.432.630.320,52
RPAD3;4,92;0,19;-12,73;0,42;0,42;;;;-9,76;-9,41;2,95;-0,13;;3,33;-0,48;28,89;-3,33;-3,29;-4,69;0,99;0,01;0,00;;;373,00;11,61;-0,39;0,47;528.008.198,04
RPAD5;7,80;7,93;-20,18;0,67;0,66;;;;-15,47;-9,41;2,95;-0,13;;5,28;-0,76;28,89;-3,33;-3,29;-4,69;0,99;0,01;0,00;;;5.469,25;11,61;-0,39;0,74;528.008.198,04
RPAD6;4,76;0,20;-12,31;0,41;0,41;;;;-9,44;-9,41;2,95;-0,13;;3,22;-0,47;28,89;-3,33;-3,29;-4,69;0,99;0,01;0,00;;;896,00;11,61;-0,39;0,45;528.008.198,04
SANB11;27,72;6,29;8,82;0,85;0,08;39,14;10,65;7,79;6,45;6,45;;;0,69;-0,20;-0,09;0,04;9,64;0,95;;0,10;0,90;0,12;13,50;-6,66;45.036.606,14;32,61;3,14;0,75;103.929.640.366,86
SANB3;13,30;6,24;8,47;0,82;0,08;39,14;10,65;7,79;6,19;6,45;;;0,66;-0,19;-0,08;0,04;9,64;0,95;;0,10;0,90;0,12;13,50;-6,66;365.707,67;16,31;1,57;0,72;103.929.640.366,86
SANB4;14,55;6,26;9,26;0,89;0,09;39,14;10,65;7,79;6,77;6,45;;;0,72;-0,21;-0,09;0,04;9,64;0,95;;0,10;0,90;0,12;13,50;-6,66;555.392,05;16,31;1,57;0,79;103.929.640.366,86
SCAR3;20,40;8,55;-23,86;0,77;0,41;42,35;20,73;-12,25;14,09;22,96;8,86;0,48;2,92;2,09;-0,56;3,68;-3,23;-1,71;2,21;0,53;0,47;0,14;6,45;;407.384,57;26,48;-0,86;0,20;1.177.841.307,60
SIMH3;4,27;1,65;-9,77;1,11;0,04;25,94;16,44;-0,89;0,53;7,10;6,57;13,73;0,09;0,41;-0,07;1,46;-11,36;-0,45;10,82;0,04;0,92;0,51;33,49;;17.308.147,52;3,85;-0,44;0,49;3.727.883.075,91
SPRT3B;76,40;;-1.707,98;3.026,97;2.817,07;;;;-1.708,97;-1.708,36;0,60;-1,07;;3.026,97;;14,42;-177,23;-164,94;-177,12;0,93;0,07;0,00;;;;0,03;-0,04;-46,02;370.531.748,80
SULA11;20,76;;48,73;1,06;0,29;4,25;-3,34;0,83;-12,06;7,41;19,47;-1,71;0,40;0,79;-0,85;2,29;2,17;0,60;-9,49;0,28;0,72;0,73;4,58;-23,56;313.020.093,00;19,64;0,43;-0,88;8.840.533.965,20
SULA3;7,43;;52,32;1,13;0,31;4,25;-3,34;0,83;-12,95;7,41;19,47;-1,71;0,43;0,85;-0,91;2,29;2,17;0,60;-9,49;0,28;0,72;0,73;4,58;-23,56;;6,55;0,14;-0,95;8.840.533.965,20
SULA4;7,63;;53,73;1,17;0,32;4,25;-3,34;0,83;-13,30;7,41;19,47;-1,71;0,44;0,88;-0,93;2,29;2,17;0,60;-9,49;0,28;0,72;0,73;4,58;-23,56;;6,55;0,14;-0,97;8.840.533.965,20
SYNE3;4,90;9,36;6,35;0,72;0,27;52,55;51,05;36,56;4,55;3,08;-1,47;-0,23;2,32;1,36;-0,38;3,39;11,34;4,28;4,98;0,38;0,35;0,12;23,59;29,12;4.963.618,71;6,80;0,77;-0,08;747.957.780,50
WIZC3;8,32;3,01;7,20;2,07;0,54;61,85;44,23;13,63;2,22;2,38;0,16;0,15;0,98;-33,24;-0,70;0,93;28,76;7,56;24,12;0,26;0,48;0,55;13,02;-2,88;2.150.023,00;4,02;1,16;1,17;1.330.428.586,24
