"","name","x.mni","y.mni","z.mni","lobe","hemi","index","network","name.full"
"264","MST_R",43.8,-67.2,2,"Occipital","R",264,"Visual","Medial_Superior_Temporal_Area_R"
"265","PH_R",47.3,-52.4,-11.7,"Temporal","R",265,"Visual","Area_PH_R"
"266","PHT_R",57,-53.8,-1.1,"Temporal","R",266,"DorsalAttn","Area_PHT_R"
"267","TPOJ2_R",49,-54.5,8.8,"Parietal","R",267,"Visual","Area_TemporoParietoOccipital_Junction_2_R"
"268","43_R",60.9,-2.2,10.7,"Frontal","R",268,"Auditory","Area_43_R"
"269","OP4_R",54.2,-13.6,16.9,"Parietal","R",269,"Auditory","Area_OP4-PV_R"
"270","PFt_R",53,-22.7,39.1,"Parietal","R",270,"SMhand","Area_PFt_R"
"271","PEF_R",47.3,2,37.6,"Frontal","R",271,"DorsalAttn","Premotor_Eye_Field_R"
"272","8C_R",37.8,28.7,35.6,"Frontal","R",272,"FrontoParietal","Area_8C_R"
"273","p9-46v_R2",41.8,29.1,21.6,"Frontal","R",273,"FrontoParietal","Area_posterior_9-46v_R"
"274","FOP1_R",50.1,3,3.9,"Frontal","R",274,"CinguloOperc","Frontal_Opercular_Area_1_R"
"275","6r_R",46.6,7.8,19.3,"Frontal","R",275,"DorsalAttn","Rostral_Area_6_R"
"276","IFSp_R",38.6,18.8,25.5,"Frontal","R",276,"FrontoParietal","Area_IFSp_R"
"277","a10p_R",28.4,57,-5.1,"Frontal","R",277,"FrontoParietal","Area_anterior_10p_R"
"278","10d_R",4.8,65.1,-7.1,"Frontal","R",278,"Default","Area_10d_R"
"279","10r_R",7.2,48.4,-10.1,"Frontal","R",279,"Default","Area_10r_R"
"280","OFC_R1",2.9,18.7,-23.2,"Frontal","R",280,"None","Orbital_Frontal_Complex_R"
"281","a47r_R",35.1,37.3,-8.4,"Frontal","R",281,"None","Area_anterior_47r_R"
"282","Pir_R",25.4,8.9,-15.7,"Temporal","R",282,"None","Pirform_Cortex_R"
"283","13l_R",21.2,30.3,-15.2,"Frontal","R",283,"None","Area_13l_R"
"284","11l_R",21.6,51.1,-14.1,"Frontal","R",284,"None","Area_11l_R"
"285","OFC_R2",11.9,25.7,-24.8,"Frontal","R",285,"None","Orbital_Frontal_Complex_R"
"286","pOFC_R",13.5,20.3,-15.2,"Frontal","R",286,"None","posterior_OFC_Complex_R"
"287","OFC_R3",10.9,39.1,-19.7,"Frontal","R",287,"None","Orbital_Frontal_Complex_R"
"288","10v_R",2.2,39,-25.6,"Frontal","R",288,"None","Area_10v_R"
"289","TE1m_R",62.3,-26.4,-16,"Temporal","R",289,"None","Area_TE1_Middle_R"
"290","STSva_R",57.5,-7.4,-16.4,"Temporal","R",290,"Default","Area_STSv_anterior_R"
"291","TE2a_R1",54.7,-7.8,-26.9,"Temporal","R",291,"None","Area_TE2_anterior_R"
"292","STGa_R",45.2,13.6,-30.1,"Temporal","R",292,"None","Area_STGa_R"
"293","VMV2_R",31.2,-45.6,-5.8,"Occipital","R",293,"Visual","VentroMedial_Visual_Area_2_R"
"294","PHA2_R1",34.6,-35.6,-12.3,"Temporal","R",294,"RetrosplenialTemporal","ParaHippocampal_Area_2_R"
"295","PHA2_R2",34.6,-23.9,-20.4,"Temporal","R",295,"RetrosplenialTemporal","ParaHippocampal_Area_2_R"
"296","EC_R1",20.1,-21.4,-21.5,"Temporal","R",296,"None","Entorhinal_Cortex_R"
"297","PeEc_R1",28,-0.4,-37.3,"Temporal","R",297,"None","Perirhinal_Ectorhinal_Cortex_R"
"298","VMV3_R",26.9,-69.1,-6.6,"Occipital","R",298,"Visual","VentroMedial_Visual_Area_3_R"
"299","FFC_R",34.9,-44,-20,"Temporal","R",299,"Visual","Fusiform_Face_Complex_R"
"300","TGd_R2",36.8,7.7,-37.9,"Temporal","R",300,"None","Area_TG_dorsal_R"
"301","TE2a_R2",54.5,-9.6,-37,"Temporal","R",301,"None","Area_TE2_anterior_R"
"302","TE2a_R3",56.4,-27,-19.4,"Temporal","R",302,"None","Area_TE2_anterior_R"
"303","TGv_R",31.1,2.2,-46.1,"Temporal","R",303,"None","Area_TG_Ventral_R"
"304","TF_R1",39.5,-11.9,-29.7,"Temporal","R",304,"None","Area_TF_R"
"305","PeEc_R2",31.6,-9.4,-35.5,"Temporal","R",305,"None","Perirhinal_Ectorhinal_Cortex_R"
"306","TF_R2",43.4,-24.1,-20.8,"Temporal","R",306,"None","Area_TF_R"
"307","V3_R1",13.8,-92.3,14.7,"Occipital","R",307,"Visual","Third_Visual_Area_R"
"308","V2_R1",10.5,-73.8,-1.5,"Occipital","R",308,"Visual","Second_Visual_Area_R"
"309","V3_R2",20.4,-87.3,-6.6,"Occipital","R",309,"Visual","Third_Visual_Area_R"
"310","V2_R2",5.1,-80.2,23.1,"Occipital","R",310,"Visual","Second_Visual_Area_R"
"311","V2_R3",14.6,-70.3,23.3,"Occipital","R",311,"Visual","Second_Visual_Area_R"
"312","EC_R2",19.5,-10.8,-24.9,"Temporal","R",312,"None","Entorhinal_Cortex_R"
"313","PHA1_R",24.5,-36.2,-13.2,"Temporal","R",313,"RetrosplenialTemporal","ParaHippocampal_Area_1_R"
"314","H_R2",30.4,-18.8,-19.4,"Temporal","R",314,"None","Hippocampus_R"
"315","8Ad_R2",21,32.8,42.1,"Frontal","R",315,"Default","Area_8Ad_R"
"316","9p_R",21.4,42.8,35.1,"Frontal","R",316,"Default","Area_9_Posterior_R"
"317","9-46d_R1",24.4,50.8,24.3,"Frontal","R",317,"CinguloOperc","Area_9-46d_R"
"318","46_R",31.3,39.7,25.6,"Frontal","R",318,"CinguloOperc","Area_46_R"
"319","p10p_R",23.5,59.1,4.9,"Frontal","R",319,"FrontoParietal","Area_posterior_10p_R"
"320","9-46d_R2",30.9,52.2,9.9,"Frontal","R",320,"FrontoParietal","Area_9-46d_R"
"321","9a_R",16,61,19.8,"Frontal","R",321,"Default","Area_9_anterior_R"
"322","9m_R1",8.2,53.8,14,"Frontal","R",322,"Default","Area_9_Middle_R"
"323","9m_R2",5.9,54.9,29.4,"Frontal","R",323,"Default","Area_9_Middle_R"
"324","8BL_R",13.8,46.7,42.1,"Frontal","R",324,"Default","Area_8B_Lateral_R"
"325","8BM_R2",6.8,44.5,34.8,"Frontal","R",325,"Default","Area_8BM_R"
"326","i6-8_R",30.6,18.9,48.7,"Frontal","R",326,"Default","Inferior_6-8_Transitional_Area_R"
"327","8Av_R1",42.4,19.5,48.2,"Frontal","R",327,"FrontoParietal","Area_8Av_R"
"328","8Av_R2",38.9,9.6,42.7,"Frontal","R",328,"FrontoParietal","Area_8Av_R"
"329","MBelt_R",39.7,-22.5,2.6,"Temporal","R",329,"Auditory","Medial_Belt_Complex_R"
"330","PBelt_R2",55.8,2,-2,"Temporal","R",330,"Auditory","ParaBelt_Complex_R"
"331","STSda_R",54.4,1.1,-12.9,"Temporal","R",331,"Default","Area_STSd_anterior_R"
"332","A5_R3",57.1,-6.3,-7.7,"Temporal","R",332,"VentralAttn","Auditory_5_Complex_R"
"333","STSdp_R3",46.6,-21.5,-8.5,"Temporal","R",333,"VentralAttn","Area_STSd_posterior_R"
